Player,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,IPP,Shots,SH,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,TOI_GP,Goals_60,Total_Assists_60,First_Assists_60,Second_Assists_60,Total_Points_60,Shots_60,ixG_60,iCF_60,iFF_60,iSCF_60,iHDCF_60,Rush_Attempts_60,Rebounds_Created_60,PIM_60,Penalties_Drawn_60,Giveaways_60,Takeaways_60,Hits_60,Hits_Taken_60,Shots_Blocked_60,HDCA,CF1,GF1,GF_60,GA_60,HDCF,HDCF1,xGF,xGA,Off_Zone_Starts,Neu_Zone_Starts,Def_Zone_Starts,Off_Zone_Start_Pct,SF_60,SA_60,SF_Pct,HDCF_60,HDCA_60,Def_Zone_Start_Pct
Charlie McAvoy,78,1923.48327636719,10,46,16,30,56,44.0900001525879,166,6.01999998092651,9.86999988555908,295,227,95,19,1,19,66,30,28,2,0,26,65,29,155,187,129,24.660041809082,0.310000002384186,1.42999994754791,0.5,0.939999997615814,1.75,5.17999982833862,0.310000002384186,9.19999980926514,7.07999992370605,2.96000003814697,0.589999973773956,0.0299999993294477,0.589999973773956,2.05999994277954,0.810000002384186,2.02999997138977,0.899999976158142,4.82999992370605,5.82999992370605,4.01999998092651,288,56.7099990844727,62.25,3.96000003814697,2.40000009536743,434,60.1100006103516,121.809997558594,81.6399993896484,381,327,312,54.9799995422363,40.7099990844727,27.9500007629395,59.2900009155273,13.539999961853,8.97999954223633,45.021645021645
MacKenzie Weegar,80,1869.81665039063,8,36,17,19,44,36.6699981689453,203,3.94000005722046,10.9499998092651,391,271,129,27,9,18,81,27,23,1,3,9,85,74,179,141,156,23.372709274292,0.259999990463257,1.1599999666214,0.550000011920929,0.610000014305115,1.4099999666214,6.51000022888184,0.349999994039536,12.5500001907349,8.69999980926514,4.1399998664856,0.870000004768372,0.28999999165535,0.579999983310699,2.59999990463257,0.28999999165535,2.73000001907349,2.36999988555908,5.73999977111816,4.51999998092651,5.01000022888184,380,53.6800003051758,54.0499992370605,3.84999990463257,3.26999998092651,446,54,109.610000610352,99.4899978637695,374,415,388,49.0800018310547,36.3199996948242,31.6700000762939,53.4199981689453,14.3100004196167,12.1899995803833,50.9186351706037
Aaron Ekblad,61,1519.75,15,42,13,29,57,45.5999984741211,180,8.32999992370605,10.7799997329712,317,233,101,26,8,25,26,13,13,0,0,9,73,43,62,54,69,24.9139347076416,0.589999973773956,1.6599999666214,0.509999990463257,1.13999998569489,2.25,7.1100001335144,0.430000007152557,12.5200004577637,9.19999980926514,3.99000000953674,1.02999997138977,0.319999992847443,0.990000009536743,1.02999997138977,0.360000014305115,2.88000011444092,1.70000004768372,2.45000004768372,2.13000011444092,2.72000002861023,290,57.5499992370605,63.4500007629395,4.94000005722046,2.83999991416931,381,56.7799987792969,101.790000915527,74.3399963378906,366,332,297,55.2000007629395,38.4099998474121,29.2900009155273,56.7299995422363,15.039999961853,11.4499998092651,44.7963800904977
Shea Theodore,78,1804.69995117188,14,38,22,16,52,49.5200004577637,205,6.82999992370605,11.6400003433228,417,273,131,34,7,31,24,12,12,0,0,9,58,60,37,118,97,23.1371803283691,0.469999998807907,1.25999999046326,0.730000019073486,0.529999971389771,1.73000001907349,6.82000017166138,0.389999985694885,13.8599996566772,9.07999992370605,4.3600001335144,1.12999999523163,0.230000004172325,1.02999997138977,0.800000011920929,0.300000011920929,1.92999994754791,1.99000000953674,1.23000001907349,3.92000007629395,3.22000002861023,347,56.6199989318848,57.0699996948242,3.49000000953674,2.63000011444092,431,55.4000015258789,107.629997253418,85.1399993896484,355,346,222,61.5299987792969,37.8300018310547,27.6599998474121,57.7700004577637,14.3299999237061,11.539999961853,38.474870017331
Ryan Suter,82,1939.48327636719,7,25,6,19,32,35.1599998474121,118,5.92999982833862,6.59999990463257,265,183,79,13,5,17,40,20,20,0,0,5,46,19,46,64,88,23.6522350311279,0.219999998807907,0.769999980926514,0.189999997615814,0.589999973773956,0.990000009536743,3.65000009536743,0.200000002980232,8.19999980926514,5.65999984741211,2.44000005722046,0.400000005960464,0.150000005960464,0.529999971389771,1.24000000953674,0.150000005960464,1.41999995708466,0.589999973773956,1.41999995708466,1.98000001907349,2.72000002861023,369,51.8199996948242,52,2.8199999332428,2.59999990463257,424,53.4700012207031,103.230003356934,89.0500030517578,326,347,338,49.0999984741211,31.1200008392334,30.8400001525879,50.2200012207031,13.1199998855591,11.4200000762939,50.9036144578313
Darnell Nurse,71,1778.44995117188,9,26,12,14,35,34.310001373291,203,4.42999982833862,10.6199998855591,410,286,117,20,7,15,54,27,27,0,0,9,67,33,196,61,132,25.0485916137695,0.300000011920929,0.879999995231628,0.400000005960464,0.469999998807907,1.17999994754791,6.84999990463257,0.360000014305115,13.8299999237061,9.64999961853027,3.95000004768372,0.670000016689301,0.239999994635582,0.509999990463257,1.82000005245209,0.300000011920929,2.25999999046326,1.11000001430511,6.6100001335144,2.05999994277954,4.44999980926514,344,50.6800003051758,51.2599983215332,3.44000005722046,3.26999998092651,395,53.4500007629395,102.550003051758,93.6500015258789,227,350,313,42.0400009155273,34.6800003051758,34.3800010681152,50.2200012207031,13.3299999237061,11.6099996566772,57.962962962963
John Carlson,78,1857.25,17,54,25,29,71,55.4700012207031,195,8.72000026702881,12.9099998474121,388,278,114,22,4,30,20,9,9,0,0,10,55,42,73,97,112,23.8108978271484,0.550000011920929,1.74000000953674,0.810000002384186,0.939999997615814,2.28999996185303,6.30000019073486,0.419999986886978,12.5299997329712,8.97999954223633,3.6800000667572,0.709999978542328,0.129999995231628,0.970000028610229,0.649999976158142,0.319999992847443,1.77999997138977,1.36000001430511,2.35999989509583,3.13000011444092,3.61999988555908,326,54.7799987792969,58.1800003051758,4.1399998664856,2.97000002861023,384,54.0800018310547,114.75,86.3899993896484,345,340,201,63.189998626709,35.7599983215332,27.75,56.310001373291,12.4099998474121,10.5299997329712,36.8131868131868
Zach Werenski,68,1745.31665039063,11,37,22,15,48,45.2799987792969,216,5.09000015258789,13.2600002288818,428,313,135,27,6,20,22,11,11,0,0,8,39,39,33,69,95,25.6664218902588,0.379999995231628,1.26999998092651,0.759999990463257,0.519999980926514,1.64999997615814,7.42999982833862,0.46000000834465,14.710000038147,10.7600002288818,4.6399998664856,0.930000007152557,0.209999993443489,0.689999997615814,0.759999990463257,0.280000001192093,1.3400000333786,1.3400000333786,1.12999999523163,2.36999988555908,3.26999998092651,352,53.5999984741211,49.5299987792969,3.64000010490417,3.71000003814697,327,48.1599998474121,98.620002746582,91.870002746582,365,332,251,59.25,34.4500007629395,33.7200012207031,50.5299987792969,11.2399997711182,12.1000003814697,40.7467532467533
Devon Toews,66,1674.98327636719,13,44,11,33,57,46.3400001525879,158,8.22999954223633,8.10000038146973,267,202,77,24,6,14,20,10,10,0,0,5,34,45,54,40,85,25.3785362243652,0.469999998807907,1.58000004291534,0.389999985694885,1.17999994754791,2.03999996185303,5.65999984741211,0.28999999165535,9.5600004196167,7.23999977111816,2.75999999046326,0.860000014305115,0.209999993443489,0.5,0.720000028610229,0.180000007152557,1.22000002861023,1.61000001430511,1.92999994754791,1.42999994754791,3.03999996185303,363,53.2999992370605,61.5,4.40999984741211,2.75999999046326,340,48.3600006103516,94.7399978637695,79.379997253418,254,339,325,43.8699989318848,35.6800003051758,31.7000007629395,52.9500007629395,12.1800003051758,13,56.1312607944732
Moritz Seider,82,1889.36669921875,7,43,20,23,50,44.6399993896484,187,3.74000000953674,9.8100004196167,355,246,84,7,2,24,34,17,17,0,0,19,48,41,151,116,161,23.0410575866699,0.219999998807907,1.37000000476837,0.639999985694885,0.730000019073486,1.5900000333786,5.94000005722046,0.310000002384186,11.2700004577637,7.80999994277954,2.67000007629395,0.219999998807907,0.0599999986588955,0.759999990463257,1.08000004291534,0.600000023841858,1.51999998092651,1.29999995231628,4.80000019073486,3.6800000667572,5.1100001335144,405,49.2000007629395,48.7000007629395,3.55999994277954,3.75,367,47.5400009155273,98.4899978637695,110.480003356934,260,342,346,42.9000015258789,32.4599990844727,31.9500007629395,50.3899993896484,11.6499996185303,12.8599996566772,57.0957095709571
