pair,score
Nick Jensen Martin Fehervary,420.683994591236
Cam Fowler Hampus Lindholm,420.262000155449
Alexander Edler Jordan Spence,419.435005366802
Alex Pietrangelo Shea Theodore,419.224993705749
Justin Braun Jacob Trouba,419.205001115799
Hampus Lindholm Simon Benoit,418.568003857136
Jeff Petry Brett Kulak,418.55499728322
Colton Parayko Jake Walman,418.265998804569
Victor Hedman Jan Rutta,417.935998123884
Brett Pesce Tony DeAngelo,417.722005212307
Ryan Pulock Sebastian Aho,417.714001023769
Radko Gudas Brandon Montour,417.253000187874
Zdeno Chara Adam Pelech,416.87800848484
Derek Forbort Connor Clifton,416.810000360012
Connor Clifton Charlie McAvoy,415.788001024723
Dmitry Kulikov Jon Merrill,415.729995894432
Andrej Sustr Jan Rutta,415.411998218298
Victor Hedman Mikhail Sergachev,414.814003682136
Justin Braun K'Andre Miller,414.685995042324
Jacob Middleton Nicolas Meloche,414.656005358696
Duncan Keith Markus Niemelainen,414.548997139931
MacKenzie Weegar Lucas Carlsson,414.300002610683
Troy Stecher Mikey Anderson,413.446998536587
Michael Del Zotto Artem Zub,413.24100716114
Michael Del Zotto Travis Hamonic,412.661000907421
John Klingberg Miro Heiskanen,412.443001377583
Andrej Sustr Mikhail Sergachev,412.29000377655
Ryan McDonagh Zach Bogosian,411.671013104916
Kris Russell Philip Broberg,411.572995710373
Morgan Rielly Travis Dermott,410.88700222373
Jordie Benn Dmitry Kulikov,410.726004588604
Kevin Shattenkirk Cam Fowler,410.586001634598
Ryan McDonagh Erik Cernak,410.472008728981
Esa Lindell Joel Hanley,410.068995022774
Travis Dermott Rasmus Sandin,409.856998080015
Jake Muzzin Ilya Lyubushkin,409.494000351429
Kevin Shattenkirk Simon Benoit,408.892005336285
Jacob Middleton Mario Ferraro,408.757010602951
Jake Walman Niko Mikkola,408.515993267298
Mattias Ekholm Alexandre Carrier,407.436003756523
Christopher Tanev Noah Hanifin,407.05400018692
Ryan Murray Cale Makar,407.023999708891
Mikey Anderson Tobias Bjornfot,406.638997495174
Derek Forbort Hampus Lindholm,406.180996131897
Brett Kulak Philip Broberg,406.121994507313
Cody Ceci Philip Broberg,405.36399525404
Luke Schenn Kyle Burroughs,405.164007616043
Hampus Lindholm Charlie McAvoy,405.158996796608
Erik Gudbranson Rasmus Andersson,404.907998514175
Luke Schenn Tyler Myers,404.653001141548
Kris Letang Chad Ruhwedel,404.335003435612
Kris Russell Markus Niemelainen,404.074001193047
Christopher Tanev Oliver Kylington,403.974001455307
Radko Gudas Lucas Carlsson,403.972998130322
Marc-Edouard Vlasic Jacob Middleton,403.84800671339
Jake Walman Filip Hronek,403.650004780292
Alexandre Carrier Philippe Myers,403.454993486404
Connor Clifton Urho Vaakanainen,403.454006123543
Shayne Gostisbehere Jakob Chychrun,403.306001853943
Gustav Lindstrom Moritz Seider,403.285998165607
Shayne Gostisbehere Ilya Lyubushkin,402.9370008111
Matt Roy Sean Durzi,402.508009213209
Ryan Suter John Klingberg,402.427000057697
Luke Schenn Travis Hamonic,402.158002102375
Colton Parayko Niko Mikkola,401.747995895147
Adam Pelech Sebastian Aho,401.572003734112
Josh Manson Hampus Lindholm,401.554005229473
Devon Toews Bowen Byram,401.451999306679
Derek Forbort Brandon Carlo,401.11899933815
Drew Doughty Matt Roy,400.978002744913
Brandon Montour Gustav Forsling,400.765007710457
TJ Brodie Morgan Rielly,400.669002079964
Ben Chiarot Brett Kulak,400.466997408867
Brandon Carlo Charlie McAvoy,400.097000002861
Luke Schenn Tucker Poolman,400.07300760746
Cam Fowler Simon Benoit,399.972002112865
Justin Schultz Dmitry Orlov,399.763999581337
TJ Brodie Rasmus Sandin,399.638997936249
Jacob Trouba Adam Fox,399.622000324726
Andy Greene Ryan Pulock,399.27700022459
Justin Holl Morgan Rielly,398.88100643158
Alec Martinez Shea Theodore,398.492996990681
Matt Roy Jordan Spence,398.298009651899
Cody Ceci Markus Niemelainen,397.865000736713
Justin Holl Rasmus Sandin,397.851002287865
Mike Matheson Marcus Pettersson,397.803006958961
Jaycob Megna Nicolas Meloche,397.575000953674
Erik Johnson Cale Makar,397.122992706299
Trevor van Riemsdyk Martin Fehervary,396.826993012428
Carson Soucy Jeremy Lauzon,396.729998540878
Mark Giordano Timothy Liljegren,396.629002952576
Erik Johnson Ryan Murray,395.826998919249
Zach Bogosian Victor Hedman,395.661004459858
Jordie Benn Jon Merrill,395.523995816708
Marco Scandella Jake Walman,395.141990482807
Adam Fox K'Andre Miller,395.102994251251
Victor Hedman Erik Cernak,394.462000083923
Jordan Oesterle Moritz Seider,393.952999222279
Patrik Nemeth Jacob Trouba,393.711003625393
Matt Grzelcyk Connor Clifton,393.658002400398
Nick Jensen Trevor van Riemsdyk,393.635002028942
Brenden Dillon Dylan DeMelo,393.264991760254
Robert Bortuzzo Jake Walman,393.214004248381
Kris Letang Brian Dumoulin,392.662006402016
Jani Hakanpaa Esa Lindell,392.540994817018
Mark Borowiecki Alexandre Carrier,392.383998179436
Marc Staal Moritz Seider,392.371995544434
Andrej Sustr Erik Cernak,391.938000178337
Gabriel Carlsson Jake Bean,391.92600120306
Kevin Shattenkirk Josh Manson,391.878006708622
Hampus Lindholm Andrej Sustr,391.735002994537
Jaycob Megna Mario Ferraro,391.676006197929
Duncan Keith Tyson Barrie,391.630000090599
Ryan Pulock Sebastian Aho,391.323999249935
Travis Sanheim Ivan Provorov,391.215008091927
Mattias Ekholm Philippe Myers,391.087000775337
Jamie Oleksiak Jeremy Lauzon,390.669002103806
Kris Letang John Marino,390.456997799873
Brent Burns Nicolas Meloche,390.378000116348
Devon Toews Samuel Girard,389.811999320984
Zdeno Chara Scott Mayfield,389.680008912087
Miro Heiskanen Thomas Harley,389.283007073403
Henri Jokiharju Jacob Bryson,389.271000730991
Dean Kukan Jake Bean,389.244998908043
Patrik Nemeth K'Andre Miller,389.191997551918
Jani Hakanpaa Joel Hanley,388.812006765604
Marco Scandella Colton Parayko,388.373993110657
Jared Spurgeon Jonas Brodin,388.337998604774
Tyler Myers Kyle Burroughs,388.317002558708
Adam Larsson Carson Soucy,388.253998732567
Gabriel Carlsson Dean Kukan,388.17100571394
Alex Pietrangelo Dylan Coghlan,387.78499507904
Brandon Carlo Urho Vaakanainen,387.763005101681
Gustav Forsling Lucas Carlsson,387.485005652905
Jeff Petry Ben Chiarot,387.41399448514
Marc-Edouard Vlasic Jaycob Megna,386.767002308369
Robert Bortuzzo Colton Parayko,386.44600687623
Josh Manson Cale Makar,386.285001027584
Jake Walman Gustav Lindstrom,386.103999996185
Shea Theodore Zach Whitecloud,386.000996041298
Travis Hamonic Kyle Burroughs,385.822003519535
Rasmus Ristolainen Ivan Provorov,385.707011258602
Tyler Myers Travis Hamonic,385.31099704504
Jared Spurgeon Matt Dumba,385.307998609543
Josh Manson Ryan Murray,384.989007240534
Michael Del Zotto Victor Mete,384.844002079964
Brent Burns Mario Ferraro,384.479005360603
Shea Theodore Nicolas Hague,384.380992734432
Danny DeKeyser Moritz Seider,384.150995635986
Jake Muzzin Morgan Rielly,383.887002944946
Kyle Burroughs Tucker Poolman,383.73700902462
Filip Hronek Troy Stecher,383.684007906914
Rasmus Ristolainen Travis Sanheim,383.566006672382
Robert Hagg Jacob Bryson,383.508007788658
Travis Hamonic Artem Zub,383.396004259586
Ben Hutton Shea Theodore,383.235998415947
Tyler Myers Tucker Poolman,383.226002550125
Kevin Shattenkirk Urho Vaakanainen,383.149003374577
Andy Greene Adam Pelech,383.135002934933
Hampus Lindholm Matt Grzelcyk,383.028998172283
Cam Fowler Josh Manson,382.958003485203
Jake Muzzin Rasmus Sandin,382.856998801231
Jared Spurgeon Jacob Middleton,382.344004189968
Adam Larsson Jamie Oleksiak,382.193002295494
Kevin Shattenkirk Andrej Sustr,382.059004473686
Ian Cole Ethan Bear,381.989000320435
Jacob Bryson Mattias Samuelsson,381.907001423836
Jeremy Lauzon Alexandre Carrier,381.784999942779
Justin Braun Ryan Lindgren,381.774998271465
Christopher Tanev Nikita Zadorov,381.454000401497
Josh Manson Simon Benoit,381.26400718689
Kris Russell Tyson Barrie,381.155004143715
Michael Del Zotto Nikita Zaitsev,380.821002519131
Travis Hamonic Tucker Poolman,380.731003510952
Andrej Sekera Esa Lindell,380.711993664503
Ian Cole Brendan Smith,380.148998618126
Mark Borowiecki Mattias Ekholm,380.016005468369
Erik Gudbranson Noah Hanifin,379.578003358841
Brent Burns Marc-Edouard Vlasic,379.570001471043
Ryan Suter Thomas Harley,379.267005753517
Olli Maatta Sean Durzi,379.015006363392
Shayne Gostisbehere Cam Dineen,378.980000817776
Jack Johnson Cale Makar,378.841987532377
Marco Scandella Niko Mikkola,378.623987573385
Troy Stecher Tobias Bjornfot,378.29400138855
Matt Grzelcyk Brandon Carlo,377.967001378536
Jack Johnson Ryan Murray,377.545993745327
Drew Doughty Olli Maatta,377.484999895096
Andrej Sekera Joel Hanley,376.983005613089
Jordan Oesterle Jake Walman,376.771001052856
Nick Holden Michael Del Zotto,376.719004058838
Robert Bortuzzo Niko Mikkola,376.696001338959
Erik Gudbranson Oliver Kylington,376.498004627228
Nick Seeler Ivan Provorov,376.39000364542
Mark Borowiecki Philippe Myers,376.03499519825
Tyson Barrie Brett Kulak,375.704002940655
Marc Staal Jake Walman,375.189997375011
Adam Pelech Sebastian Aho,375.182001960278
Erik Johnson Josh Manson,375.088000237942
Calvin de Haan Caleb Jones,375.000003492832
Tyson Barrie Cody Ceci,374.946003687382
Olli Maatta Jordan Spence,374.805006802082
Brett Kulak Alexander Romanov,374.777004802227
Scott Mayfield Sebastian Aho,374.374004161358
Nick Seeler Travis Sanheim,374.2489990592
Cam Fowler Urho Vaakanainen,374.229000151157
William Lagesson Evan Bouchard,373.96099588871
Haydn Fleury Jeremy Lauzon,373.873999488354
Cam Fowler Andrej Sustr,373.139001250267
Markus Niemelainen Philip Broberg,373.136994290352
Jakob Chychrun Ilya Lyubushkin,373.062999212742
Urho Vaakanainen Simon Benoit,372.535003852844
Brady Skjei Ethan Bear,372.514997410774
Derek Forbort Charlie McAvoy,372.481991028786
Mike Matheson Chad Ruhwedel,371.68500238657
Andrej Sustr Simon Benoit,371.445004951954
Brendan Smith Brady Skjei,370.674995708466
Joel Edmundson Brett Kulak,370.505998408794
John Carlson Martin Fehervary,369.877990579605
Zdeno Chara Sebastian Aho,369.42601095438
Mattias Ekholm Jeremy Lauzon,369.417007231712
Alexander Edler Kale Clague,368.825000226498
Nick Seeler Rasmus Ristolainen,368.741002225876
Kevin Connauton MacKenzie Weegar,368.650002396107
Mike Reilly Connor Clifton,368.608000838757
Jack Johnson Erik Johnson,367.644986742735
Alec Martinez Dylan Coghlan,367.052998363972
Danny DeKeyser Jake Walman,366.968997466564
John Carlson Nick Jensen,366.685999596119
Jared Spurgeon Dmitry Kulikov,366.626001763344
Alex Goligoski Jonas Brodin,366.597993409634
Marcus Pettersson Mark Friedman,366.563004803658
Vladislav Gavrikov Jake Bean,366.337995684147
Darnell Nurse William Lagesson,366.279001331329
Troy Stecher Gustav Lindstrom,366.138003122807
Brayden McNabb Shea Theodore,366.074995040894
Ryan McDonagh Victor Hedman,365.670012545586
Adam Larsson Haydn Fleury,365.397999680042
Justin Braun Ivan Provorov,365.381004035473
Gabriel Carlsson Vladislav Gavrikov,365.264002490044
P.K. Subban Dougie Hamilton,365.176999676228
Roman Josi Alexandre Carrier,364.932000231743
Filip Hronek Gustav Lindstrom,364.720008599758
Alex Goligoski Matt Dumba,363.567993414402
Robert Bortuzzo Marco Scandella,363.321998554468
Justin Braun Travis Sanheim,363.239999449253
Ryan McDonagh Andrej Sustr,363.146012639999
Mark Pysyk Jacob Bryson,363.075006997585
Brad Hunt Travis Dermott,363.057000511885
Matthew Benning Alexandre Carrier,362.818001079559
Dean Kukan Vladislav Gavrikov,362.583000195026
Adam Fox Ryan Lindgren,362.191997480393
Connor Murphy Caleb Jones,362.081007659435
Jeff Petry Alexander Romanov,361.7240018785
Caleb Jones Riley Stillman,361.423004233837
Nicolas Meloche Mario Ferraro,361.04500644207
Brenden Dillon Logan Stanley,360.740993094444
Brett Pesce Ethan Bear,360.712001526356
Alex Goligoski Jacob Middleton,360.603998994827
Michael Del Zotto Thomas Chabot,360.503003931046
Derek Forbort Urho Vaakanainen,360.147996127605
Brian Dumoulin Mike Matheson,360.012005352974
Mark Giordano TJ Brodie,359.589002037048
Mikey Anderson Sean Durzi,359.555999791622
Andrej Sekera Jani Hakanpaa,359.455005407333
Charlie McAvoy Urho Vaakanainen,359.125996792316
Ben Chiarot Robert Hagg,359.125001335144
Brendan Smith Brett Pesce,358.871999824047
David Savard Brett Kulak,358.732003861666
Ryan Pulock Noah Dobson,358.63399835825
Kevin Connauton Radko Gudas,358.322997915745
Drew Doughty Mikey Anderson,358.025993323326
Mike Reilly Hampus Lindholm,357.978996610642
Mike Matheson John Marino,357.806996750832
Mark Giordano Justin Holl,357.801006388664
Justin Braun Rasmus Ristolainen,357.732002615929
Torey Krug Jake Walman,357.716997420788
Jeff Petry Joel Edmundson,357.452995485067
Jack Johnson Josh Manson,356.80699506402
Jordan Oesterle Troy Stecher,356.805004179478
Dougie Hamilton Damon Severson,356.746000564098
Patrik Nemeth Ryan Lindgren,356.281000781059
Marc-Edouard Vlasic Nicolas Meloche,356.136002552509
Andy Greene Scott Mayfield,355.937003362179
Victor Mete Artem Zub,355.579005432129
Jordan Oesterle Filip Hronek,355.387009656429
Mikey Anderson Jordan Spence,355.346000230312
Marc Staal Troy Stecher,355.224000501633
Travis Hamonic Victor Mete,354.99899917841
Robert Hagg Henri Jokiharju,354.687001001835
Dylan Coghlan Zach Whitecloud,354.560997414589
Josh Manson Andrej Sustr,354.431006324291
Mark Borowiecki Jeremy Lauzon,354.365001654625
Dougie Hamilton Jonas Siegenthaler,354.305004572868
Erik Gudbranson Nikita Zadorov,353.978003573418
Marc Staal Filip Hronek,353.806005978584
Jacob Trouba Nils Lundkvist,353.502002227306
Oliver Ekman-Larsson Brad Hunt,353.320004320145
Henri Jokiharju Mattias Samuelsson,353.085994637013
Dylan Coghlan Nicolas Hague,352.940994107723
Mike Reilly Brandon Carlo,352.916999816895
Roman Josi Mattias Ekholm,352.564007520676
Ben Hutton Dylan Coghlan,351.795999789238
Nikita Zaitsev Artem Zub,351.556005871296
Jared Spurgeon Jon Merrill,351.423992991447
Zdeno Chara Andy Greene,350.989010155201
Travis Hamonic Nikita Zaitsev,350.975999617577
Torey Krug Colton Parayko,350.949000048637
Mattias Ekholm Matthew Benning,350.450008368492
Derek Forbort Matt Grzelcyk,350.351992404461
Marc-Edouard Vlasic Mario Ferraro,350.237007796764
Tyson Barrie Philip Broberg,350.21799724102
Ryan Pulock Sebastian Aho,349.524000489712
Matt Grzelcyk Charlie McAvoy,349.329993069172
Cam Dineen Jakob Chychrun,349.105999219418
K'Andre Miller Nils Lundkvist,348.982996153831
Cam Dineen Ilya Lyubushkin,348.736998176575
Roman Josi Philippe Myers,348.582997250557
Justin Braun Nick Seeler,348.414995002747
Scott Mayfield Sebastian Aho,347.984002387524
Matt Roy Kale Clague,347.688004511595
Nick Holden Artem Zub,347.454007411003
Robert Hagg Mattias Samuelsson,347.323001694679
Victor Hedman Andrej Sustr,347.136003994942
Morgan Rielly Ilya Lyubushkin,347.087000763416
Danny DeKeyser Troy Stecher,347.003000593185
Dougie Hamilton Colton White,346.875001761317
Nick Holden Travis Hamonic,346.874001157284
Dylan DeMelo Logan Stanley,346.707995820045
Matthew Benning Philippe Myers,346.468998098373
Jared Spurgeon Jordie Benn,346.420001685619
Noah Hanifin Rasmus Andersson,346.169992208481
Rasmus Sandin Ilya Lyubushkin,346.056996619701
Andrej Sustr Urho Vaakanainen,345.702002990246
Jeff Petry David Savard,345.679000937939
Danny DeKeyser Filip Hronek,345.585006070137
Brenden Dillon Josh Morrissey,345.568994176388
Alex Goligoski Dmitry Kulikov,344.885996568203
John Klingberg Esa Lindell,344.708988678455
Mark Giordano Carson Soucy,344.506998467445
Ben Chiarot Alexander Romanov,343.636002004147
